Customer_ID,Purchase_Date,Cover_Start_Date,Country,LOB,Property_Type,Property_Value,Claims_Count,Period_of_Cover_Years,Annual_Premium,Broker,Exposure,ROI,Loss_Ratio,Frequency,Severity,Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp,Period_of_Cover
2098443f262db2ea2fad5d70c30985d1,2005-05-17,2005-06-07,Japan,Commercial,Public,325737,8,67,80527,Athena,5,37,-67,2,324773,2023,3,12,21:17:52,29.4408,130.697,35,4.7,"Ryukyu Islands, Japan",1678655872,19
3408d7168c178b37e2fbd9ac0040475a,2020-06-03,2021-04-15,Japan,Commercial,Public,722405,9,35,37939,Athena,4,-16,17,3,382276,2023,3,12,20:25:33,39.5095,142.5343,88.7,4.3,"50 km E of Yamada, Japan",1678652733,27
d340ccbcb917bdd04070cb8a4729ac43,1997-08-13,1998-02-22,Japan,Private,Public,154107,3,16,91898,Athena,2,-10,94,1,207394,2023,3,12,01:06:04,43.4366,145.0552,139.6,4.1,"25 km SSW of Shibetsu, Japan",1678583164,17
0d7e195e5b7ff97eaa7536ea39072155,1992-11-16,1993-05-01,Japan,Private,Industrial,433203,10,96,90696,Athena,3,-13,9,2,144224,2023,3,11,09:18:36,37.9125,140.636,115.3,4,"7 km NNE of Yanagawamachi-saiwaich?, Japan",1678526316,10
87305b57a0639c21b0fb24aabcf3e074,2004-02-13,2004-08-26,Japan,Commercial,Public,832390,6,71,20831,Athena,4,59,19,3,450476,2023,3,11,00:16:54,31.3131,141.7826,10,5.2,"Izu Islands, Japan region",1678493814,28
bb94ce14c3539fcb1e0d7b4c58339d11,2004-10-30,2005-02-14,Japan,Private,Residential,264935,10,45,44161,Athena,1,-69,-35,1,587060,2023,3,10,20:12:38,42.178,142.9511,58,4.9,"51 km ESE of Shizunai-furukawach?, Japan",1678479158,5
2e3b7840dc6c81fc89dc7124f30e05e6,2017-08-11,2017-10-14,Japan,Commercial,Public,602634,3,6,15141,Athena,2,63,89,4,602395,2023,3,10,12:57:35,28.4745,139.6201,464.4,4.6,"Bonin Islands, Japan region",1678453055,20
b48e09c0940fb712291c5e999cf63e13,1991-12-15,1992-06-22,Japan,Private,Industrial,230622,10,77,53730,Athena,2,-25,36,3,883980,2023,3,9,14:14:08,34.6466,141.228,36.2,4.6,"100 km SE of Katsuura, Japan",1678371248,15
c2e956506ff6fc1dc6572b5f221c771e,2009-06-05,2009-10-21,Japan,Commercial,Industrial,974459,5,94,13564,Athena,3,60,67,1,188262,2023,3,9,04:53:17,44.897,141.4618,271.9,3.9,"35 km SE of Rishiri Town, Japan",1678337597,13
61a4d2b609c8df7da934bf786f83782c,2005-09-25,2006-03-29,Japan,Commercial,Industrial,334115,1,97,71869,Athena,5,-38,-90,4,753842,2023,3,8,08:32:17,30.1236,138.7211,430.9,4.3,"Izu Islands, Japan region",1678264337,20
